"NO","名　　　　称","緯度","経度","住所","面積（�u）","面積（ha）","一時緊急　　　避難地","ブランコ _2連 ","ブランコ_3連","ブランコ_4連","スベリ台","低鉄棒_１連","低鉄棒_２連","低鉄棒_３連","低鉄棒_４連","低鉄棒_５連","シーソー","ジャングルジム","複合遊具_鋼製","砂場","ラダー","健康遊具","ﾌﾟﾚｲｽｶﾙﾌﾟﾁｬｰ","便所","水飲","ベンチ","四阿・ｼｪﾙﾀｰ","駐車場有料施設専用","駐車場","桜_ソメイヨシノ","桜_オオシマザクラ","桜_カンヒザクラ","桜_シダレザクラ","桜_カワズザクラ　","桜_ヤマザクラ","桜_その他","桜_合計","桜_その他品種","景色の良い公園","",""
"1","あおぞらひろば","34.80317213","135.7271898","大阪府枚方市尊延寺３丁目１−４７","1343.39","0.134","","","","","","","","","","","","","1","","","","","","","","","","","0","0","0","0","0","0","1","1","エドヒガン","","aozora square","3-1-47, sonenji, hirakata-shi, osaka-fu"
"2","あかね丘公園","34.8008958","135.6331999","大阪府枚方市北中振１丁目１(府道21号線沿い)","548.17","0.055","","","","1","1","","","1","","","","","","1","","","1","","1","7","1","","","","","","","","","","","","","akaneoka park","1-1, kitanakaburi, hirakata-shi, osaka-fu"
"3","旭ヶ丘中央公園","34.77635257","135.6529001","大阪府枚方市東香里南町２１−１２","1930.77","0.193","","1","","","1","","","","","","","","","1","","","","","1","2","","","","1","0","0","0","0","0","0","1","","","asahigaokachuuou park","21-12, higashikouriminamimachi, hirakata-shi, osaka-fu"
"4","旭ヶ丘西公園","34.77780792","135.6507224","大阪府枚方市東香里南町３１−２３","1886.19","0.189","","1","","","1","","","","","","","","","1","","","","","1","6","","","","6","0","0","0","0","0","0","6","","","asahigaokanishi park","31-23, higashikouriminamimachi, hirakata-shi, osaka-fu"
"5","旭ヶ丘東公園","34.77616526","135.655468","大阪府枚方市東香里南町５４−１１","842.63","0.084","","","","1","1","","","1","","","","","","1","","","","","","5","","","","","","","","","","","","","","asahigaokahigashi park","54-11, higashikouriminamimachi, hirakata-shi, osaka-fu"
"6","あんご公園","34.80975156","135.6529164","大阪府枚方市東田宮１丁目５−１２","2743.14","0.274","","","","","","","","","","","","","1","1","","","","","1","14","","","","8","0","8","0","0","0","0","16","","","ango park","1-5-12, higashitamiya, hirakata-shi, osaka-fu"
"7","伊加賀栄公園","34.80588501","135.6353846","大阪府枚方市伊加賀栄町１０−２９","2825.96","0.283","","1","","","1","","","","","","","","","1","","","","1","","8","1","","","1","0","0","0","0","0","0","1","","","ikagasakae park","10-29, ikagasakaemachi, hirakata-shi, osaka-fu"
"8","伊加賀山公園","34.79784152","135.6457699","大阪府枚方市香里ケ丘６丁目２０","4433.82","0.443","","","1","","1","","","","","","1","","","","","","","","","3","","","","28","0","0","0","0","0","0","28","","","ikagayama park","6-20, kourigaoka, hirakata-shi, osaka-fu"
"9","伊加賀公園","34.81138525","135.6376873","大阪府枚方市堤町７−２","948.36","0.095","","1","","","1","","","","","1","","1","","","","","","","1","4","","","","14","0","0","0","0","0","2","16","","","ikaga park","7-2, tsutsumichou, hirakata-shi, osaka-fu"
"10","池之宮西公園","34.81156769","135.6706329","大阪府枚方市池之宮２丁目２３−１３","829.02","0.083","","1","","","1","","1","","","","","","","1","","","","","1","2","","","","1","0","0","0","0","0","0","1","","","ikenomiyanishi park","2-23-13, ikenomiya, hirakata-shi, osaka-fu"
